#separator:tab
#html:false
#columns:Frage	Antwort	Kapitel	ID
Was ist der erste volkssprachliche Text der Iberoromania?	Die Nodicia de kesos (Ende 10. Jh.), eine Inventarliste der Käselaibe des Klosters San Justo y Pastor bei León.	02 Vulgaerlatein-Romanisierung	K2.14
Was beweist die Existenz von Glossen?	Dass die lateinischen Texte den Lesern sprachlich nicht mehr zugänglich waren — ein Symptom der Diglossie.	02 Vulgaerlatein-Romanisierung	K2.15
Was macht die Glosas Emilianenses sprachhistorisch besonders?	Sie enthalten grammatische Analysen und einen autonomen Gebetstext — die erste überlieferte Textproduktion in einem iberoromanischen Romance.	02 Vulgaerlatein-Romanisierung	K2.16
Welcher Varietät werden die Glosas Emilianenses zugeordnet?	Umstritten: Aragonesisch oder riojano. Sicher nur: eine Varietät der Übergangszone zwischen Kastilien und Aragón.	02 Vulgaerlatein-Romanisierung	K2.17
Was belegt die Form nafregarsan aus den Glosas?	Mesoklise: das Pronomen se steht im analytischen Futur zwischen Infinitiv und reduzierter habere-Form (heute se ahogarán).	02 Vulgaerlatein-Romanisierung	K2.18
Welche Region wurde konservativ, welche innovativ romanisiert?	Baetica (Bildungskultur) → konservativ, wie Ptg./Astur-Leonesisch. Tarraconensis (Händler, Ostorientierung) → innovativ, wie Aragonesisch/Katalanisch.	02 Vulgaerlatein-Romanisierung	K2.19
Warum ist das Kastilische die innovativste Varietät?	Wegen intensiven Sprachkontakts mit Nachbarvarietäten und dem Baskischen sowie der Varietätenmischung in den wiederbesiedelten Gebieten.	02 Vulgaerlatein-Romanisierung	K2.20
Drei kastilische Lautmerkmale zur Abgrenzung von den Nachbardialekten?	f- > h- (harina), -ct- > [tʃ] (hecho, statt westl. feito), lj > mujer/ojo (statt westl. muller/olho).	02 Vulgaerlatein-Romanisierung	K2.21
Nenne die drei Perioden mit Jahreszahlen.	Altspanisch 1200–1450, Mittelspanisch 1450–1650, Neuspanisch/modernes Spanisch ab 1650.	03 Altspanisch	K3.1
Wie nannten die Sprecher des Altspanischen ihre Sprache?	Castellano (auch romanz, lenguaje de Castiella). Lengua española erscheint erst im 16. Jh. in offiziellen Texten.	03 Altspanisch	K3.2
Externer vs. interner Ausbau des Kastilischen?	Externer Ausbau = geographische Ausbreitung auf Kosten der Nachbardialekte. Interner Ausbau = Vordringen in neue Funktions- und Diskursbereiche.	03 Altspanisch	K3.3
Wo lag das Ursprungsgebiet des Kastilischen?	Im kantabrischen Gebirge, also im Norden; von dort breitete es sich in der Reconquista nach Süden aus.	03 Altspanisch	K3.4
Was ist das erste literarische Werk in kastilischer Sprache?	Das Poema de Mio Cid. Datierung ungeklärt: 12. oder 13. Jh.; Handschrift aus dem frühen 14. Jh.	03 Altspanisch	K3.5
Was ist die sprachhistorische Bedeutung Alfons X.?	Unter ihm steigt das Kastilische zur Wissenschaftssprache auf — ein Novum. Kodifikation erfolgt durch die Vorbildwirkung der Texte.	03 Altspanisch	K3.6
Welche neuen Konsonanten hat das Altspanische?	Sechs Palatalkonsonanten, zwei dento-alveolare Affrikaten (/ts/, /dz/) und einen stimmhaften bilabialen Frikativ (/β/).	03 Altspanisch	K3.7
Nenne die drei altspanischen Sibilantenpaare.	/ts/–/dz/ (<ç>/<z>), /s/–/z/ (<ss>/<s>), /ʃ/–/ʒ/ (<x>/<j,g>).	03 Altspanisch	K3.8
Welches Minimalpaar belegt die Opposition /b/ vs. /β/?	[b]ienes ‚Güter' vs. [v]ienes ‚du kommst'. Heute sind beide homophon.	03 Altspanisch	K3.9
Wie viele Vokalphoneme hat das Altspanische am Ende?	Fünf: /i/, /e/, /a/, /o/, /u/. Die offenen /ɛ/ und /ɔ/ gingen rasch verloren, ersetzt durch die Diphthonge /je/ und /we/.	03 Altspanisch	K3.10
Bei welchen Verben steht im Altspanischen ser als Perfektauxiliar?	Bei reflexiven und bei unakkusativen Verben. Beispiele: son idos, eran entrados, fue llegado.	03 Altspanisch	K3.11
Was sind unakkusative Verben?	Untergruppe der intransitiven Verben, deren erstes Argument sich syntaktisch wie ein direktes Objekt verhält.	03 Altspanisch	K3.12
Womit kongruiert das altspanische Partizip bei haber?	Mit dem direkten Objekt, in Genus und Numerus: tres colpes le ovo dados. Nimmt bis Ende des 15. Jh.s ab.	03 Altspanisch	K3.13
Wo stehen Pronomina im altspanischen Aussagesatz?	In der Regel nach dem Verb, also enklitisch: Exiénlo ver mugieres e varones.	03 Altspanisch	K3.14
Wann ist Enklise KEIN Datierungsmerkmal?	Bei bejahtem Imperativ (dímelo), Gerundium (haciéndolo) und Infinitiv (verlo) — dort ist sie auch heute möglich.	03 Altspanisch	K3.15
Was ist Mesoklise, und mit welchem Satz belegst du sie?	Klitikum zwischen Infinitiv und habere-Form im Futur/Konditional: si yo bivo, doblarvos he la soldada (Cid I, 80).	03 Altspanisch	K3.16
Warum ist Mesoklise ab dem 17. Jh. unmöglich?	Weil die Grammatikalisierung abgeschlossen ist: Futur und Konditional gelten nun als synthetische Formen ohne einfügbare Naht.	03 Altspanisch	K3.17
Wo war DOM im Altspanischen obligatorisch, wo fakultativ?	Obligatorisch bei Personalpronomina und Eigennamen; fakultativ bei anderen menschlichen direkten Objekten, wenn spezifisch und definit.	03 Altspanisch	K3.18
Was bedeuten „spezifisch" und „definit" bei DOM?	Spezifisch: die Person existiert tatsächlich. Definit: die Person ist Sprecher und Hörer bekannt.	03 Altspanisch	K3.19
Nenne die drei Wortschatzschichten des Altspanischen.	Erbwortschatz (espejo), halbgelehrte Wörter (siglo, nicht *sejo), Buchwörter/Cultismos (misión).	03 Altspanisch	K3.20
Was ist eine Dublette? Ein Beispiel?	Volkssprachliche und gelehrte Form aus demselben Etymon, mit Bedeutungsunterschied: estricto ‚strikt' vs. estrecho ‚eng'.	03 Altspanisch	K3.21
Warum steht in altspanischen Texten <f>, wo heute <h> steht?	Etymologische Schreibung: der bereits aspirierte Laut wurde weiter nach seiner lateinischen Herkunft als <f> verschriftet (fijo, fablar).	03 Altspanisch	K3.22
Wann dauert das Mittelspanische, wann die Siglos de Oro?	Mittelspanisch 1450–1650; Siglos de Oro 16. und 17. Jh. Sie überlappen, sind aber nicht identisch.	04 Mittelspanisch	K4.1
Nenne die vier bedeutenden Ereignisse des Jahres 1492.	Eroberung Granadas, Entdeckung Amerikas, Nebrijas Grammatik, Vertreibung der Juden (Sepharden).	04 Mittelspanisch	K4.2
Was ist Nebrijas Gramática von 1492?	Die erste gedruckte Grammatik einer romanischen Sprache; fünf Bücher, das letzte ein Lehrwerk für Nichtmuttersprachler.	04 Mittelspanisch	K4.3
Wann war die Kastilianisierung Aragóns und Leóns abgeschlossen?	Um 1500. Damit ist der Überdachungsprozess der übrigen diatopischen Varietäten beendet.	04 Mittelspanisch	K4.4
Nenne die drei Schritte des Sibilantenwandels mit Jahrhundert.	1. Entaffrizierung (15. Jh.), 2. Aufhebung der Sonoritätsopposition (16. Jh.), 3. Verlagerung der Artikulationsstellen (bis ca. 1650).	04 Mittelspanisch	K4.5
Warum wurde die Sonoritätsopposition der Sibilanten aufgegeben?	Wegen ihrer geringen funktionalen Auslastung: zu wenige Minimalpaare stützten sie (Ausnahme osso/oso).	04 Mittelspanisch	K4.6
Welche drei Phoneme stehen am Ende des Sibilantenwandels?	Interdentales /θ/, apikales /s/, velares /x/. Vorher waren es sechs Sibilanten in drei Oppositionspaaren.	04 Mittelspanisch	K4.7
Wohin verlagern sich dentales /s/ und präpalatales /ʃ/ in Schritt 3?	Dentales /s/ nach vorn zu interdentalem /θ/ (decir); präpalatales /ʃ/ nach hinten zu velarem /x/ (caja).	04 Mittelspanisch	K4.8
Unterscheide Seseo, Ceceo und Distinción.	Distinción: /s/ und /θ/ vorhanden. Seseo: nur /s/, alles wird [s]. Ceceo: nur /θ/, alles wird [θ].	04 Mittelspanisch	K4.9
Welche Gebiete haben drei, welche zwei Sibilantenphoneme?	Drei (/θ/, /s/, /x/): Nordkastilien mit Toledo, Murcia, Westandalusien. Zwei (/s/, /h/): Rest Andalusiens, Kanaren, Lateinamerika.	04 Mittelspanisch	K4.10
Was ist Yeísmo?	Dephonologisierung der Opposition /ʎ/ vs. /j/, sodass pollo und poyo gleich klingen; bis Anfang des 17. Jh.s abgeschlossen.	04 Mittelspanisch	K4.11
Wie entstand die Form amás des Voseo?	Aus amades über amaes durch Schwund des intervokalischen -d-; die kontrahierte Form blieb am Río de la Plata erhalten.	04 Mittelspanisch	K4.12
Was passiert im 16. Jh. mit dem Auxiliar aver?	Es wird alleiniges Auxiliar der zusammengesetzten Zeiten und verliert die Possessionsbedeutung an tener.	04 Mittelspanisch	K4.13
Wann ist Mesoklise nicht mehr möglich, und warum?	Im 17. Jh. Der Grammatikalisierungsprozess ist abgeschlossen; Futur und Konditional gelten nun als synthetische Formen.	04 Mittelspanisch	K4.14
Wie entstand usted?	Aus Vuestra Merced über Allegroformen wie vuesarced, vuce, vusted. Daher die Kongruenz mit der 3. Person.	04 Mittelspanisch	K4.15
Was war vos im mittelalterlichen System, was wurde es?	Ursprünglich die höfliche Anrede; ab dem 15. Jh. verliert es den gehobenen Status und konkurriert mit tú als Näheform.	04 Mittelspanisch	K4.16
Nenne die Voseo-, Tuteo- und Konkurrenzgebiete.	Voseo: Argentinien, Uruguay, Paraguay. Tuteo: México, Perú, Bolivien, Karibik. Konkurrenz: Chile, Ecuador, Kolumbien.	04 Mittelspanisch	K4.17
Etymologisches vs. referentielles Pronominalsystem?	Etymologisch: die syntaktische Funktion entscheidet (lo = dO, le = iO). Referentiell: die Referenteneigenschaft [± menschlich] entscheidet.	04 Mittelspanisch	K4.18
Was ist Leísmo?	Die Verwendung von le für das direkte Objekt: Le veo a Juan. Nicht für das indirekte — das wäre etymologisch korrekt.	04 Mittelspanisch	K4.19
Was ist Loísmo, was Laísmo?	Loísmo: lo für indirekte Objekte (lo doy el regalo a Jaime). Laísmo: la für indirekte Objekte (la di el libro a tu hermana).	04 Mittelspanisch	K4.20
Was ist leísmo de cosa?	Nördliche Ausdehnung des referentiellen Prinzips, bei der Zählbarkeit über le/lo entscheidet: este coche no hay que comprarle.	04 Mittelspanisch	K4.21
Nenne je zwei Amerikanismen aus Nahuatl und Quechua.	Nahuatl: chocolate, tomate (auch cacao, coyote). Quechua: pampa, cóndor.	04 Mittelspanisch	K4.22
Nenne die drei Eroberungsphasen Amerikas.	1502–1519 karibische Inseln; 1519–1549 die großen indigenen Reiche; ab 1550 innere Durchdringung.	04 Mittelspanisch	K4.23
Was geschah mit Nahuatl und Quechua nach der Conquista?	Sie verloren ihr Prestige, wurden aber lenguas generales — Verkehrssprachen der Evangelisierung mit erweitertem Wirkungsradius.	04 Mittelspanisch	K4.24
Wann beginnt das moderne Spanisch, und was ist am Namen problematisch?	Ca. 1650. Der Name veraltet notwendigerweise — wie sollen nachfolgende Perioden heißen? Retrospektive Benennung als Grundproblem.	05 Modernes Spanisch	K5.1
Was bewirkte das Decreto de Nueva Planta von 1716?	Kastilisch wurde einzige offizielle Sprache auch in den katalanischsprachigen Regionen; Katalanisch verlor den Schriftsprachenstatus.	05 Modernes Spanisch	K5.2
Was ist die Decadència?	Das weitgehende Erliegen der katalanischen Literaturproduktion nach der Zurückdrängung des Katalanischen auf den privaten Bereich.	05 Modernes Spanisch	K5.3
Was brachte die Verfassung von 1978?	Verfassungsrechtliche Absicherung der Minderheitensprachen; drei nacionalidades históricas (Galizien, Katalonien, Baskenland) mit lenguas propias und normalización.	05 Modernes Spanisch	K5.4
Wann wurde die Real Academia gegründet, nach welchem Vorbild?	1713, nach dem Vorbild der Académie Française. Wichtigstes Instrument: die Kodifizierung der Sprache.	05 Modernes Spanisch	K5.5
Was geschah 1951 in México City?	16 Academias Correspondientes trafen sich und gründeten die Asociación de Academias — Ende des Monozentrismus der Madrider RAE.	05 Modernes Spanisch	K5.6
Nenne die drei Kodifikationsstufen des Spanischen mit Jahr.	Faktisch durch Textvorbilder (Alfons X., 13. Jh.), explizit durch Grammatik (Nebrija 1492), institutionell durch Akademie (RAE 1713).	05 Modernes Spanisch	K5.7
Welche Gebiete Lateinamerikas folgen NICHT dem etymologischen System?	Ecuador, Paraguay und der Nordosten Argentiniens.	05 Modernes Spanisch	K5.8
Wie bewertete die RAE 1854 Leísmo, Laísmo und Loísmo?	le und lo für das direkte Objekt gleichermaßen zugelassen, leísmo de cosa nicht verurteilt; Laísmo und Loísmo nicht akzeptiert.	05 Modernes Spanisch	K5.9
Was ist die ursprüngliche Bedeutung des pasado compuesto?	Eine resultative: habeo scriptas litteras / tengo escritas las cartas — es geht um das vorliegende Resultat, nicht die Handlung.	05 Modernes Spanisch	K5.10
Was bedeutet „hodiernal"?	Von lat. hodie ‚heute': der aktuelle Tag dient als Bezugsintervall. Standardverwendung des peninsularen pasado compuesto.	05 Modernes Spanisch	K5.11
Wo fungiert das pasado compuesto auch in prähodiernalen Kontexten?	In Madrid und vor allem in der Region von Alicante: Ayer hemos comprado un coche. Dort weiter grammatikalisiert.	05 Modernes Spanisch	K5.12
Worauf ist das pasado compuesto im amerikanischen Spanisch spezialisiert?	Auf durative (andauernde) oder iterative (wiederholte) Ereignisse bis zum Sprechzeitpunkt: yo siempre los he usado.	05 Modernes Spanisch	K5.13
Was ist Dequeísmo?	Überflüssige Verwendung von de vor que, obwohl das Verb kein de selegiert: Pienso de que es difícil…	05 Modernes Spanisch	K5.14
Nenne die drei Erklärungsversuche für Dequeísmo.	Analogie (tener la esperanza de que → esperar de que), Hyperkorrektismus zweisprachiger Sprecher, pragmatische Distanzmarkierung.	05 Modernes Spanisch	K5.15
Wie funktioniert die Hyperkorrektismus-Erklärung des Dequeísmo?	Katalanischsprachige Sprecher wissen, dass Katalanisch nie eine Präposition setzt, Spanisch manchmal — und setzen de deshalb zu oft.	05 Modernes Spanisch	K5.16
Was besagt die pragmatische Erklärung des Dequeísmo?	De ist Distanzmarkierung: der Sprecher will nicht für den Inhalt bürgen und markiert ihn als Information einer anderen Quelle.	05 Modernes Spanisch	K5.17
Nenne zwei Konstruktionen nach französischem Vorbild.	Attributives Gerundium (una solución ofreciendo muchas ventajas) und modales a in N+a+Infinitiv (un problema a resolver).	05 Modernes Spanisch	K5.18
Was ist ein calco semántico?	Übernahme einer zusätzlichen Bedeutung aus einer anderen Sprache, begünstigt durch formale Ähnlichkeit: asumir auch ‚vermuten'.	05 Modernes Spanisch	K5.19
Unterscheide Entlehnung, Lehnprägung und calco semántico.	Entlehnung: neues Wort (fútbol). Lehnprägung: übersetztes Muster (supermercado). Calco semántico: vorhandenes Wort, neue Bedeutung (crucial).	05 Modernes Spanisch	K5.20
Mit welchem Schritt beginnt jede Herleitung vom Lateinischen?	Mit der Tilgung des finalen [m], weil die romanische Form vom lateinischen Akkusativ ausgeht.	06 DOM-Artikel-Negation	K6.1
Welche zwei Schritte führen von [hiʎo] zu [ixo]?	Delateralisierung ([ʎ] > [ʒ]), dann Deaspiration ([h] verstummt) und Velarisierung + Desonorisierung ([ʒ] > [x]).	06 DOM-Artikel-Negation	K6.2
Welche Prozesse führen von poplo zu pueblo?	Diphthongierung [ɔ] > [we], Sonorisierung von [p] > [b] zwischen stimmhaften Lauten, Frikativisierung [b] > [β].	06 DOM-Artikel-Negation	K6.3
Was ist eine Synkope? Ein Beispiel?	Tilgung eines unbetonten, meist posttonischen Vokals im Wortinneren: popolo > poplo.	06 DOM-Artikel-Negation	K6.4
Wie heißen die zwei Skalen, die DOM steuern?	Belebtheitsskala (= Inhärenzskala) und Definitheitsskala (= Referenzskala).	06 DOM-Artikel-Negation	K6.5
Worin unterscheiden sich Inhärenz- und Referenzskala?	Inhärenz: unveränderliche Merkmale des Objekts (Juan immer menschlich). Referenz: im Kontext wechselnd (la/una/Ø casa).	06 DOM-Artikel-Negation	K6.6
Was ist das Grundprinzip von DOM?	Höher belebte bzw. definite Objekte werden markiert; niedriger belebte bzw. indefinite bleiben unmarkiert.	06 DOM-Artikel-Negation	K6.7
Warum entstand DOM überhaupt?	Wegen des Kasusabbaus: Subjekt und Objekt waren nicht mehr unterscheidbar. Markiert wird, wo Verwechslungsgefahr besteht — bei belebten Objekten.	06 DOM-Artikel-Negation	K6.8
Wo und wann ist der erste DOM-Beleg?	In einer Khardja des 11. Jh.s, Sprache Mozarabisch: adamey filiyolo alyeno ed el a mibi. Erster Beleg in den romanischen Sprachen überhaupt.	06 DOM-Artikel-Negation	K6.9
Mit welcher Präposition markiert das Rumänische DOM?	Mit pe — während Spanisch und die meisten romanischen Sprachen a verwenden.	06 DOM-Artikel-Negation	K6.10
In welche Richtung breitet sich DOM historisch aus?	Von den definitesten und belebtesten Objekten schrittweise zu indefiniteren und weniger belebten; heute auch abstrakte, besonders in Lateinamerika.	06 DOM-Artikel-Negation	K6.11
Was sind gestaffelte Determinanten? Zwei Beispiele?	Zwei vorangestellte Determinanten in einer NP, im 13. Jh. möglich: la mi sangre, aquella su mugier. Heute ungrammatisch.	06 DOM-Artikel-Negation	K6.12
Wovon hängt die Definitheit einer NP mit gestaffelten Determinanten ab?	Vom äußersten Determinanten: la mi sangre ist definit, un su hermano indefinit.	06 DOM-Artikel-Negation	K6.13
Welcher Determinant nimmt die innere Position ein?	Der „tolerantere" — der nur in äußerer Position auf einen Definitheitswert festgelegt ist, z. B. das Possessiv. Daher *mi la sangre ungrammatisch.	06 DOM-Artikel-Negation	K6.14
Wann nehmen gestaffelte Determinanten ab, und wo überlebt un su amigo?	Abnahme ab Mitte des 15. Jh.s; un su amigo überlebte in einigen amerikanischen Dialekten, z. B. im karibischen Spanisch.	06 DOM-Artikel-Negation	K6.15
Was bedeutet „expletiv"? Zwei Beispiele?	Formal vorhanden, aber semantisch leer: expletiver Artikel in Los lobos cazan en manadas; expletives no in mejor ahora que no ir.	06 DOM-Artikel-Negation	K6.16
Unterscheide Negationsmarker, Negationsquantifikator und negative concord.	Marker: no. Quantifikator: nada, nadie, nunca. Negative concord: die Kombination beider (No habló nadie).	06 DOM-Artikel-Negation	K6.17
Wann ist no bei einem Negationsquantifikator nötig, wann nicht?	Postverbaler Quantifikator: no obligatorisch (No habló nadie). Präverbaler Quantifikator: no ausgeschlossen (Nadie habló).	06 DOM-Artikel-Negation	K6.18
Welche Negationskonstruktion gab es nur im Altspanischen?	Präverbaler Negationsmarker und präverbaler Negationsquantifikator: nada non tenie, jamas non curara.	06 DOM-Artikel-Negation	K6.19
Wann nimmt no mit präverbalem Negationsquantifikator ab?	Starke Abnahme ab dem 15. Jh. Das expletive no in Nebensätzen nimmt bereits ab dem 14. Jh. ab.	06 DOM-Artikel-Negation	K6.20
Wie interpretiert HO7 das no beim präverbalen Negationsquantifikator?	Als expletives no — weil beide Konstruktionen eine parallele Abnahme zeigen (14./15. Jh.).	06 DOM-Artikel-Negation	K6.21
